Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
false,-1,0.0,0.07,112, ,
false,-1,0.0,0.0965,112, ,
false,-1,0.0,0.098,112, ,
false,-1,0.0,0.0908,113, ,
false,-1,0.0,0.1045,113, ,
false,-1,0.0,0.0831,113, ,
false,-1,0.0,0.0658,113, ,
false,-1,0.0,0.1198,114, ,
false,-1,0.0,0.0977,114, ,
false,-1,0.0,0.1083,114, ,
false,-1,0.0,0.1138,114, ,
false,-1,0.0,0.0748,115, ,
false,-1,0.0,0.0852,115, ,
false,-1,0.0,0.0575,115, ,
false,-1,0.0,0.0604,115, ,
false,-1,0.0,0.0792,116, ,
false,-1,0.0,0.1047,116, ,
false,-1,0.0,0.0839,116, ,
false,-1,0.0,0.051,116, ,
false,-1,0.0,0.0999,117, ,
false,-1,0.0,0.0794,117, ,
false,-1,0.0,0.096,117, ,
false,-1,0.0,0.0747,117, ,
false,-1,0.0,0.0938,118, ,
false,-1,0.0,0.1135,118, ,
false,-1,0.0,0.0868,118, ,
false,-1,0.0,0.1369,118, ,
false,-1,0.0,0.0679,119, ,
false,-1,0.0,0.0889,119, ,
false,-1,0.0,0.1101,119, ,
false,-1,0.0,0.1311,119, ,
false,-1,0.0,0.0956,120, ,
false,-1,0.0,0.172,120, ,
false,-1,0.0,0.1005,120, ,
false,-1,0.0,0.1422,120, ,
false,-1,0.0,0.092,121, ,
false,-1,0.0,0.2045,121, ,
false,-1,0.0,0.079,121, ,
false,-1,0.0,0.14,121, ,
false,-1,0.0,0.0986,122, ,
false,-1,0.0,0.0801,122, ,
false,-1,0.0,0.0673,122, ,
false,-1,0.0,0.1384,122, ,
false,-1,0.0,0.0441,123, ,
false,-1,0.0,0.0767,123, ,
false,-1,0.0,0.0842,123, ,
false,-1,0.0,0.096,123, ,
false,-1,0.0,0.1073,124, ,
false,-1,0.0,0.0625,124, ,
false,-1,0.0,0.0854,124, ,
false,-1,0.0,0.0793,124, ,
false,-1,0.0,0.0692,125, ,
false,-1,0.0,0.1277,125, ,
false,-1,0.0,0.1527,125, ,
false,-1,0.0,0.0596,125, ,
false,-1,0.0,0.0538,126, ,
false,-1,0.0,0.0625,126, ,
false,-1,0.0,0.0546,126, ,
false,-1,0.0,0.0817,126, ,
false,-1,0.0,0.0692,127, ,
false,-1,0.0,0.0926,127, ,
false,-1,0.0,0.0935,127, ,
false,-1,0.0,0.0858,127, ,
false,-1,0.0,0.0956,128, ,
false,-1,0.0,0.1054,128, ,
false,-1,0.0,0.1119,128, ,
false,-1,0.0,0.1549,128, ,
false,-1,0.0,0.0937,129, ,
false,-1,0.0,0.0825,129, ,
false,-1,0.0,0.1174,129, ,
false,-1,0.0,0.0993,129, ,
false,-1,0.0,0.0878,130, ,
false,-1,0.0,0.1141,130, ,
false,-1,0.0,0.0927,130, ,
false,-1,0.0,0.1065,130, ,
false,-1,0.0,0.0893,131, ,
false,-1,0.0,0.0826,131, ,
false,-1,0.0,0.0957,131, ,
false,-1,0.0,0.0976,131, ,
false,-1,0.0,0.0674,132, ,
false,-1,0.0,0.0738,132, ,
false,-1,0.0,0.0796,132, ,
false,-1,0.0,0.0856,132, ,
false,-1,0.0,0.0727,133, ,
false,-1,0.0,0.1115,133, ,
false,-1,0.0,0.053,133, ,
false,-1,0.0,0.0696,133, ,
false,-1,0.0,0.117,134, ,
false,-1,0.0,0.0985,134, ,
false,-1,0.0,0.1107,134, ,
false,-1,0.0,0.1083,134, ,
false,-1,0.0,0.1254,135, ,
false,-1,0.0,0.0573,135, ,
false,-1,0.0,0.0757,135, ,
false,-1,0.0,0.1267,135, ,
false,-1,0.0,0.1058,136, ,
false,-1,0.0,0.1134,136, ,
false,-1,0.0,0.1325,136, ,
false,-1,0.0,0.0885,136, ,
false,-1,0.0,0.0799,137, ,
false,-1,0.0,0.1001,137, ,
false,-1,0.0,0.1345,137, ,
false,-1,0.0,0.0808,137, ,
false,-1,0.0,0.0838,138, ,
false,-1,0.0,0.1398,138, ,
false,-1,0.0,0.0848,138, ,
false,-1,0.0,0.0998,138, ,
false,-1,0.0,0.0641,139, ,
false,-1,0.0,0.1324,139, ,
false,-1,0.0,0.0806,139, ,
false,-1,0.0,0.1448,139, ,
false,-1,0.0,0.0983,140, ,
false,-1,0.0,0.08,140, ,
false,-1,0.0,0.1057,140, ,
false,-1,0.0,0.1026,140, ,
false,-1,0.0,0.1252,141, ,
false,-1,0.0,0.0564,141, ,
false,-1,2.666072,0.1891,141, ,
false,-1,0.0,0.1119,141, ,
false,-1,0.0,0.0686,142, ,
false,-1,0.0,0.1155,142, ,
false,-1,0.0,0.1013,142, ,
false,-1,0.0,0.0896,142, ,
false,-1,0.0,0.0605,143, ,
false,-1,0.0,0.0464,143, ,
false,-1,0.0,0.0843,143, ,
false,-1,0.0,0.0788,143, ,
false,-1,0.0,0.0901,144, ,
false,-1,0.0,0.1235,144, ,
false,-1,0.0,0.1434,144, ,
false,-1,0.0,0.0801,144, ,
false,-1,0.0,0.1006,145, ,
false,-1,0.0,0.0614,145, ,
false,-1,0.0,0.1292,145, ,
false,-1,0.0,0.1052,145, ,
false,-1,0.0,0.111,146, ,
false,-1,0.0,0.071,146, ,
false,-1,0.0,0.1283,146, ,
false,-1,0.0,0.0766,146, ,
false,-1,0.0,0.1297,147, ,
false,-1,0.0,0.0876,147, ,
false,-1,0.0,0.1403,147, ,
false,-1,0.0,0.0845,147, ,
false,-1,0.0,0.1298,148, ,
false,-1,0.0,0.0839,148, ,
false,-1,0.0,0.0967,148, ,
false,-1,0.0,0.0635,148, ,
false,-1,0.0,0.0692,149, ,
false,-1,0.0,0.0944,149, ,
false,-1,0.0,0.0796,149, ,
false,-1,0.0,0.1116,149, ,
false,-1,0.0,0.0737,150, ,
false,-1,0.0,0.0858,150, ,
false,-1,0.0,0.0827,150, ,
false,-1,0.0,0.1234,150, ,
false,-1,0.0,0.076,151, ,
false,-1,0.0,0.1432,151, ,
false,-1,0.0,0.0613,151, ,
false,-1,0.0,0.1073,151, ,
false,-1,0.0,0.1173,152, ,
false,-1,0.0,0.1027,152, ,
false,-1,0.0,0.1014,152, ,
false,-1,0.0,0.065,152, ,
false,-1,0.0,0.15,153, ,
false,-1,0.0,0.078,153, ,
false,-1,0.0,0.0576,153, ,
false,-1,0.0,0.0979,153, ,
false,-1,0.0,0.1061,154, ,
false,-1,0.0,0.1112,154, ,
false,-1,0.0,0.076,154, ,
false,-1,0.0,0.1151,154, ,
false,-1,0.0,0.105,155, ,
false,-1,2.668536,0.1674,155, ,
false,-1,0.0,0.0777,155, ,
false,-1,0.0,0.0803,155, ,
false,-1,0.0,0.073,156, ,
false,-1,0.0,0.069,156, ,
false,-1,0.0,0.0817,156, ,
false,-1,0.0,0.0818,156, ,
false,-1,0.0,0.0684,157, ,
false,-1,0.0,0.08,157, ,
false,-1,0.0,0.0793,157, ,
false,-1,0.0,0.1414,157, ,
false,-1,0.0,0.0827,158, ,
false,-1,0.0,0.0857,158, ,
false,-1,0.0,0.0975,158, ,
false,-1,0.0,0.0742,158, ,
false,-1,0.0,0.1366,159, ,
false,-1,2.605928,0.1115,159, ,
false,-1,0.0,0.0607,159, ,
false,-1,0.0,0.0854,159, ,
false,-1,0.0,0.1249,160, ,
false,-1,0.0,0.0734,160, ,
false,-1,0.0,0.1136,160, ,
false,-1,0.0,0.0685,160, ,
false,-1,0.0,0.2714,161, ,
false,-1,0.0,0.0912,161, ,
false,-1,0.0,0.0815,161, ,
false,-1,0.0,0.1364,161, ,
false,-1,0.0,0.079,162, ,
false,-1,0.0,0.1983,162, ,
false,-1,0.0,0.1095,162, ,
false,-1,0.0,0.1197,162, ,
false,-1,0.0,0.0733,163, ,
false,-1,0.0,0.1743,163, ,
false,-1,0.0,0.0707,163, ,
false,-1,0.0,0.0539,163, ,
false,-1,0.0,0.0986,164, ,
false,-1,0.0,0.078,164, ,
false,-1,0.0,0.0818,164, ,
false,-1,0.0,0.0924,164, ,
false,-1,0.0,0.0491,165, ,
false,-1,0.0,0.0737,165, ,
false,-1,0.0,0.0873,165, ,
false,-1,0.0,0.0926,165, ,
false,-1,0.0,0.0968,166, ,
false,-1,0.0,0.0904,166, ,
false,-1,0.0,0.0696,166, ,
false,-1,0.0,0.0546,166, ,
false,-1,0.0,0.0899,167, ,
false,-1,0.0,0.0984,167, ,
false,-1,0.0,0.0828,167, ,
