Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
false,-1,0.0,0.1021,123, ,
false,-1,0.0,0.1147,124, ,
false,-1,0.0,0.1071,124, ,
false,-1,0.0,0.1332,124, ,
false,-1,0.0,0.0797,124, ,
false,-1,0.0,0.1177,125, ,
false,-1,0.0,0.1158,125, ,
false,-1,0.0,0.1309,125, ,
false,-1,0.0,0.0852,125, ,
false,-1,0.0,0.1387,126, ,
false,-1,0.0,0.0967,126, ,
false,-1,0.0,0.1196,126, ,
false,-1,0.0,0.08,126, ,
false,-1,0.0,0.1089,127, ,
false,-1,0.0,0.1359,127, ,
false,-1,0.0,0.0985,127, ,
false,-1,0.0,0.109,127, ,
false,-1,0.0,0.0973,128, ,
false,-1,0.0,0.1079,128, ,
false,-1,0.0,0.0596,128, ,
false,-1,0.0,0.0703,128, ,
false,-1,0.0,0.1041,129, ,
false,-1,0.0,0.0907,129, ,
false,-1,0.0,0.1147,129, ,
false,-1,0.0,0.113,129, ,
false,-1,0.0,0.2113,130, ,
false,-1,0.0,0.1085,130, ,
false,-1,0.0,0.1091,130, ,
false,-1,0.0,0.1103,130, ,
false,-1,0.0,0.1033,131, ,
false,-1,0.0,0.1355,131, ,
false,-1,0.0,0.0874,131, ,
false,-1,0.0,0.0818,131, ,
false,-1,0.0,0.094,132, ,
false,-1,0.0,0.1256,132, ,
false,-1,0.0,0.0857,132, ,
false,-1,0.0,0.0902,132, ,
false,-1,0.0,0.2092,133, ,
false,-1,0.0,0.1299,133, ,
false,-1,0.0,0.1755,133, ,
false,-1,0.0,0.1079,133, ,
false,-1,0.0,0.0925,134, ,
false,-1,0.0,0.1215,134, ,
false,-1,0.0,0.0905,134, ,
false,-1,0.0,0.0906,134, ,
false,-1,0.0,0.1169,135, ,
false,-1,0.0,0.1061,135, ,
false,-1,0.0,0.1043,135, ,
false,-1,0.0,0.0914,135, ,
false,-1,0.0,0.1008,136, ,
false,-1,0.0,0.0987,136, ,
false,-1,0.0,0.091,136, ,
false,-1,2.603152,0.1586,136, ,
false,-1,0.0,0.0924,137, ,
false,-1,0.0,0.1324,137, ,
false,-1,0.0,0.0924,137, ,
false,-1,0.0,0.1014,137, ,
false,-1,0.0,0.1116,138, ,
false,-1,0.0,0.1009,138, ,
false,-1,0.0,0.0751,138, ,
false,-1,0.0,0.1218,138, ,
false,-1,0.0,0.0633,139, ,
false,-1,0.0,0.0993,139, ,
false,-1,0.0,0.06,139, ,
false,-1,0.0,0.0903,139, ,
false,-1,0.0,0.1321,140, ,
false,-1,0.0,0.0655,140, ,
false,-1,0.0,0.1218,140, ,
false,-1,0.0,0.0996,140, ,
false,-1,0.0,0.0822,141, ,
false,-1,0.0,0.1149,141, ,
false,-1,0.0,0.11,141, ,
false,-1,0.0,0.1422,141, ,
false,-1,0.0,0.1266,142, ,
false,-1,0.0,0.0705,142, ,
false,-1,0.0,0.0951,142, ,
false,-1,0.0,0.0845,142, ,
false,-1,0.0,0.0732,143, ,
false,-1,0.0,0.1056,143, ,
false,-1,0.0,0.094,143, ,
false,-1,0.0,0.0763,143, ,
false,-1,0.0,0.111,144, ,
false,-1,0.0,0.0927,144, ,
false,-1,0.0,0.0807,144, ,
false,-1,0.0,0.0956,144, ,
false,-1,0.0,0.0786,145, ,
false,-1,0.0,0.082,145, ,
false,-1,0.0,0.1158,145, ,
false,-1,0.0,0.1256,145, ,
false,-1,0.0,0.1091,146, ,
false,-1,0.0,0.2277,146, ,
false,-1,0.0,0.0698,146, ,
false,-1,2.604984,0.1554,146, ,
false,-1,0.0,0.0832,147, ,
false,-1,0.0,0.0423,147, ,
false,-1,0.0,0.188,147, ,
false,-1,0.0,0.079,147, ,
false,-1,0.0,0.0779,148, ,
false,-1,0.0,0.0597,148, ,
false,-1,0.0,0.1115,148, ,
false,-1,0.0,0.0734,148, ,
false,-1,0.0,0.056,149, ,
false,-1,0.0,0.0938,149, ,
false,-1,0.0,0.0911,149, ,
false,-1,0.0,0.1822,149, ,
false,-1,0.0,0.07,150, ,
false,-1,0.0,0.1129,150, ,
false,-1,0.0,0.0739,150, ,
false,-1,0.0,0.1081,150, ,
false,-1,0.0,0.0614,151, ,
false,-1,0.0,0.0691,151, ,
false,-1,0.0,0.0601,151, ,
false,-1,0.0,0.1,151, ,
false,-1,0.0,0.1197,152, ,
false,-1,0.0,0.0661,152, ,
false,-1,0.0,0.0998,152, ,
false,-1,0.0,0.1056,152, ,
false,-1,0.0,0.1137,153, ,
false,-1,0.0,0.0845,153, ,
false,-1,0.0,0.07,153, ,
false,-1,0.0,0.1087,153, ,
false,-1,0.0,0.0634,154, ,
false,-1,0.0,0.1742,154, ,
false,-1,0.0,0.1058,154, ,
false,-1,0.0,0.1097,154, ,
false,-1,0.0,0.0966,155, ,
false,-1,0.0,0.1325,155, ,
false,-1,0.0,0.0845,155, ,
false,-1,0.0,0.0886,155, ,
false,-1,0.0,0.0692,156, ,
false,-1,0.0,0.1154,156, ,
false,-1,0.0,0.0666,156, ,
false,-1,0.0,0.1011,156, ,
false,-1,0.0,0.0699,157, ,
false,-1,0.0,0.0842,157, ,
false,-1,0.0,0.0859,157, ,
false,-1,0.0,0.0816,157, ,
false,-1,0.0,0.0942,158, ,
false,-1,0.0,0.1051,158, ,
false,-1,0.0,0.0647,158, ,
