,Brute Force,,,,,
 #Individuals,Valid?, Score, RAM (MB), Time (ms),, 
465,TRUE,38,25.262488,550.2985,, 
466,TRUE,60,24.959912,555.8986,, 
467,TRUE,35,28.120048,778.318,, 
468,TRUE,38,25.514752,506.3518,, 
469,TRUE,57,25.63132,664.8561,, 
470,TRUE,37,27.027048,777.4497,, 
471,TRUE,59,27.285592,836.3359,, 
472,TRUE,59,25.455528,582.1464,, 
473,TRUE,39,24.446032,630.8564,, 
474,TRUE,60,24.957896,494.3251,, 
475,TRUE,37,25.43276,508.2177,, 
476,TRUE,34,25.161744,507.1195,, 
477,TRUE,59,27.641704,654.2293,, 
478,TRUE,62,26.733504,762.9807,, 
479,TRUE,60,27.5922,756.8288,, 
480,TRUE,38,25.751536,681.9621,, 
481,TRUE,37,27.05004,753.1401,, 
482,TRUE,38,27.262952,564.0317,, 
483,TRUE,62,24.423264,761.9011,, 
484,TRUE,59,27.064296,594.2365,, 
485,TRUE,61,27.400944,578.6251,, 
486,TRUE,61,26.120824,650.6297,, 
487,TRUE,38,23.666928,611.0259,, 
488,TRUE,35,27.316824,612.2074,, 
489,TRUE,36,27.792504,729.0668,, 
490,TRUE,61,26.22008,698.8067,, 
491,TRUE,60,25.785328,676.2145,, 
492,TRUE,38,26.115928,572.2463,, 
493,TRUE,37,25.291784,468.1162,, 
494,TRUE,39,29.360104,834.8815,, 
495,TRUE,37,26.814904,626.2391,, 
496,TRUE,60,27.640856,633.609,, 
497,TRUE,61,24.327648,569.8868,, 
498,TRUE,59,28.772808,708.7092,, 
499,TRUE,62,25.6416,802.0854,, 
500,TRUE,60,28.127552,754.3801,, 
501,TRUE,35,27.689728,637.272,, 
502,TRUE,36,27.38504,529.9607,, 
503,TRUE,37,26.892176,659.9313,, 
,,,,,,
,,,,,,
,The DEFAULT parameters of the random test data: Days:50  Hours:8  Rooms:50  Sessions:100  Individuals:50 (Ignore for the specified parameter).,,,,,
