Greedy Brute Force, , , , ,Brute Force, , , , ,Brute Force (Greedy Optimised), , , , ,CSP Algorithm, , , , ,CSP (Randomised Optimisation), ,
Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,
true,49,0,0.1432, ,true,49,0,0.081, ,true,49,0,0.0867, ,true,49,0,0.0938, ,true,49,0,0.0778, ,
true,50,0,0.0796, ,true,50,0,0.0751, ,true,50,0,0.0775, ,true,50,0,0.0717, ,true,50,0,0.1262, ,
true,51,0,0.0825, ,true,51,0,0.1341, ,true,51,0,0.0784, ,true,51,0,0.072, ,true,51,0,0.0724, ,
true,60,0,0.1727, ,true,60,0,0.1173, ,true,60,0,0.0643, ,true,60,0,0.0722, ,true,60,0,0.0664, ,
true,60,0,0.0735, ,true,60,0,0.071, ,true,60,0,0.0639, ,true,60,0,0.0639, ,true,60,0,0.066, ,
true,51,0,0.0682, ,true,51,0,0.0627, ,true,51,0,0.1184, ,true,51,0,0.2755, ,true,51,0,0.0579, ,
true,56,0,0.0621, ,true,56,0,0.062, ,true,56,0,0.0587, ,true,56,0,0.0672, ,true,56,0,0.0569, ,
true,45,0,0.0588, ,true,45,0,0.0744, ,true,45,0,0.0598, ,true,45,0,0.056, ,true,45,0,0.0549, ,
true,54,0,0.0626, ,true,54,0,0.0546, ,true,54,0,0.0531, ,true,54,0,0.0498, ,true,54,0,0.0546, ,
true,50,0,0.0799, ,true,50,0,0.0668, ,true,50,0,0.0787, ,true,50,0,0.0631, ,true,50,0,0.0601, ,
