,Brute Force,,,,,
 #Sessions,Valid?, Score, RAM (MB), Time (ms),, 
383,TRUE,36,78.86272,223.7339,, 
384,TRUE,27,86.756056,219.6252,, 
385,TRUE,61,69.764424,206.6601,, 
386,TRUE,59,74.241448,255.9995,, 
387,TRUE,44,72.191288,207.9046,, 
388,TRUE,59,75.14048,211.9251,, 
389,TRUE,58,72.411344,206.5653,, 
390,TRUE,39,72.737592,243.8774,, 
391,TRUE,66,71.523712,227.286,, 
392,TRUE,56,80.013184,227.3164,, 
393,TRUE,59,73.098112,232.7209,, 
394,TRUE,38,73.17288,229.8467,, 
395,TRUE,68,73.352552,186.1693,, 
396,TRUE,62,74.217992,207.0823,, 
397,TRUE,64,71.003008,207.7061,, 
398,TRUE,62,72.140832,237.7516,, 
399,TRUE,38,78.616744,226.605,, 
400,TRUE,35,78.013824,263.4577,, 
401,TRUE,32,79.39008,243.4674,, 
402,TRUE,38,74.291368,242.1037,, 
403,TRUE,41,78.612552,229.1946,, 
404,TRUE,61,73.81952,223.5208,, 
405,TRUE,42,74.141056,218.5527,, 
406,TRUE,67,77.665696,279.4282,, 
407,TRUE,60,79.89016,261.1568,, 
408,TRUE,69,80.597872,286.6018,, 
409,TRUE,41,78.20344,218.5349,, 
410,TRUE,43,74.651144,259.4857,, 
411,TRUE,39,78.246784,222.0088,, 
412,TRUE,38,78.11832,234.0234,, 
413,TRUE,62,82.731792,245.4776,, 
414,TRUE,67,75.381952,216.5505,, 
415,TRUE,46,77.729088,252.4016,, 
416,TRUE,62,74.629,248.5868,, 
417,TRUE,58,82.313208,235.6698,, 
418,TRUE,41,76.6588,210.2564,, 
419,TRUE,38,78.163312,229.0707,, 
420,TRUE,59,81.765992,238.0439,, 
421,TRUE,60,76.77812,226.3402,, 
422,TRUE,58,82.185488,248.4249,, 
423,TRUE,68,79.0624,255.2693,, 
424,TRUE,40,81.593216,287.0444,, 
425,TRUE,59,77.991696,220.5878,, 
426,TRUE,63,77.91552,236.1949,, 
427,TRUE,60,82.240256,267.7499,, 
428,TRUE,61,79.109416,266.1058,, 
429,TRUE,39,80.289176,276.6239,, 
430,TRUE,66,82.208128,239.8652,, 
431,TRUE,38,77.398912,226.1454,, 
432,TRUE,57,82.629504,237.461,, 
433,TRUE,64,82.909968,270.1929,, 
434,TRUE,51,80.967016,235.5484,, 
435,TRUE,36,83.427248,287.1397,, 
436,TRUE,67,87.329152,281.8445,, 
437,TRUE,63,80.203648,264.9401,, 
438,TRUE,40,83.782912,266.0099,, 
439,TRUE,59,85.819688,288.3574,, 
440,TRUE,58,80.436608,266.3188,, 
441,TRUE,66,79.6644,262.148,, 
442,TRUE,39,83.056,290.5241,, 
443,TRUE,61,87.427344,249.9684,, 
444,TRUE,62,138.114944,262.1851,, 
445,TRUE,39,82.699848,262.8029,, 
446,TRUE,68,85.434752,233.8596,, 
447,TRUE,69,87.872384,251.9168,, 
448,TRUE,39,87.244672,233.3408,, 
449,TRUE,48,81.685888,223.3153,, 
450,TRUE,41,87.456984,243.2413,, 
451,TRUE,36,85.949288,218.2461,, 
452,TRUE,47,91.52308,225.0269,, 
453,TRUE,31,87.528208,235.1653,, 
454,TRUE,69,88.673232,243.8671,, 
455,TRUE,38,84.831616,268.7104,, 
456,TRUE,61,88.297856,267.2656,, 
457,TRUE,46,84.30528,201.1806,, 
458,TRUE,60,86.195072,276.928,, 
459,TRUE,47,84.205952,236.4964,, 
460,TRUE,50,83.577216,227.4713,, 
461,TRUE,63,82.912528,219.8025,, 
462,TRUE,66,87.106832,263.6038,, 
463,TRUE,36,89.653808,225.9688,, 
464,TRUE,58,87.87136,214.5936,, 
465,TRUE,38,87.28296,247.9995,, 
466,TRUE,40,88.210576,234.0022,, 
467,TRUE,48,85.355792,215.9172,, 
468,TRUE,59,91.968896,268.4073,, 
469,TRUE,61,87.794048,218.2538,, 
470,TRUE,50,87.451008,243.1394,, 
471,TRUE,36,88.074952,245.5286,, 
472,TRUE,57,93.822224,253.3452,, 
473,TRUE,47,89.53444,251.6923,, 
474,TRUE,39,90.171632,222.9116,, 
475,TRUE,32,93.138304,255.1269,, 
476,TRUE,59,89.344896,241.8599,, 
477,TRUE,36,89.726224,233.8463,, 
478,TRUE,62,130.32384,252.5269,, 
479,TRUE,47,86.402432,226.2187,, 
480,TRUE,40,87.527696,225.0454,, 
481,TRUE,45,89.8656,259.5192,, 
482,TRUE,64,91.903344,290.7833,, 
483,TRUE,38,95.831824,227.5717,, 
484,TRUE,69,90.51328,241.5214,, 
485,TRUE,51,93.891392,259.5477,, 
486,TRUE,42,118.793488,242.0391,, 
487,TRUE,39,87.350144,243.2436,, 
488,TRUE,37,93.598712,278.4596,, 
489,TRUE,57,89.564944,229.3449,, 
490,TRUE,47,104.332792,253.5277,, 
491,TRUE,59,92.27468,233.8759,, 
492,TRUE,40,90.334672,240.9377,, 
493,TRUE,38,93.958432,265.3157,, 
494,TRUE,38,93.139872,243.3301,, 
495,TRUE,50,99.79328,257.5284,, 
496,TRUE,58,95.206784,265.3817,, 
497,TRUE,45,93.814344,246.1104,, 
498,TRUE,40,97.47488,250.5795,, 
499,TRUE,47,91.109512,260.26,, 
500,TRUE,38,94.54272,226.3188,, 
,,,,,,
,,,,,,
,The DEFAULT parameters of the random test data: Days:50  Hours:8  Rooms:50  Sessions:50  Individuals:50 (Ignore for the specified parameter).,,,,,
