Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,54,0.0,0.0755,105, ,
true,58,0.0,0.1121,105, ,
true,65,2.690256,0.1316,105, ,
true,64,2.689816,0.1743,105, ,
true,57,2.689328,0.1525,106, ,
false,-1,2.689952,0.1782,106, ,
true,44,2.623128,0.1429,106, ,
true,52,0.0,0.1132,106, ,
true,54,0.0,0.0862,107, ,
true,50,0.0,0.0804,107, ,
true,53,0.0,0.1141,107, ,
true,53,0.0,0.0821,107, ,
true,49,0.0,0.1544,108, ,
true,50,2.690976,0.1531,108, ,
true,55,2.689752,0.2236,108, ,
true,43,0.0,0.089,108, ,
true,52,2.691016,0.2579,109, ,
true,55,0.0,0.162,109, ,
true,49,0.0,0.1173,109, ,
true,60,2.691072,0.2205,109, ,
true,56,0.0,0.1021,110, ,
true,60,2.690896,0.3041,110, ,
true,60,2.69068,0.2016,110, ,
true,51,0.0,0.1076,110, ,
true,46,0.0,0.1421,111, ,
true,50,0.0,0.169,111, ,
true,53,0.0,0.163,111, ,
true,45,2.691544,0.1697,111, ,
true,50,0.0,0.1006,112, ,
true,46,2.69168,0.2838,112, ,
true,49,2.689888,0.1545,112, ,
true,51,2.690336,0.3001,112, ,
true,52,0.0,0.1037,113, ,
true,56,0.0,0.1201,113, ,
true,60,2.691328,0.164,113, ,
true,44,0.0,0.0678,113, ,
true,54,2.691232,0.1253,114, ,
true,56,0.0,0.0661,114, ,
true,53,0.0,0.091,114, ,
true,58,0.0,0.1196,114, ,
true,47,0.0,0.084,115, ,
true,56,2.69168,0.159,115, ,
true,57,0.0,0.1376,115, ,
true,59,0.0,0.114,115, ,
true,53,0.0,0.0723,116, ,
true,53,0.0,0.1018,116, ,
false,-1,0.0,0.1463,116, ,
true,54,0.0,0.1616,116, ,
true,50,0.0,0.1172,117, ,
true,60,0.0,0.1779,117, ,
true,56,2.691624,0.2962,117, ,
true,49,0.0,0.146,117, ,
true,47,0.0,0.1591,118, ,
true,53,2.692352,0.1303,118, ,
true,48,0.0,0.1508,118, ,
true,54,0.0,0.1312,118, ,
true,58,2.69196,0.2784,119, ,
true,51,0.0,0.1013,119, ,
true,53,0.0,0.1299,119, ,
true,47,0.0,0.1243,119, ,
