,Greedy Brute Force,,,,,
 #Individuals,Valid?, Score, RAM (MB), Time (ms),, 
290,TRUE,47,7.837984,488.7819,, 
291,TRUE,22,8.042896,414.0541,, 
292,TRUE,25,8.040552,605.1033,, 
293,TRUE,46,8.044768,556.3384,, 
294,TRUE,23,7.310304,336.4405,, 
295,TRUE,47,7.488832,426.6228,, 
296,TRUE,19,8.044512,447.7228,, 
297,TRUE,22,8.044376,418.252,, 
298,TRUE,45,8.045472,594.4741,, 
299,TRUE,62,7.617024,477.3486,, 
300,TRUE,36,7.50088,433.0348,, 
301,TRUE,49,8.04528,553.0489,, 
302,TRUE,48,8.046904,514.5452,, 
303,TRUE,46,7.918704,453.6934,, 
304,TRUE,48,8.048088,567.0916,, 
305,TRUE,60,8.048168,563.0862,, 
306,TRUE,60,8.051392,570.7074,, 
307,TRUE,44,7.73436,471.6844,, 
308,TRUE,61,8.051112,509.9706,, 
309,TRUE,46,8.048584,540.2206,, 
310,TRUE,61,8.04916,593.181,, 
311,TRUE,47,8.048224,605.3283,, 
312,TRUE,60,8.050584,644.4595,, 
313,TRUE,22,8.053048,460.3113,, 
314,TRUE,60,8.051896,579.7875,, 
315,TRUE,20,8.05436,524.4116,, 
316,TRUE,49,8.050816,649.0906,, 
317,TRUE,44,8.05136,483.1752,, 
318,TRUE,63,8.051592,500.8199,, 
319,TRUE,46,8.053728,532.468,, 
320,TRUE,25,8.050496,669.7834,, 
321,TRUE,49,8.052464,626.8402,, 
322,TRUE,45,8.055616,594.378,, 
323,TRUE,26,8.056048,700.2962,, 
324,TRUE,59,8.053072,451.3751,, 
325,TRUE,24,8.05688,616.31,, 
326,TRUE,47,8.058648,539.2616,, 
327,TRUE,49,8.055992,656.9665,, 
328,TRUE,47,8.055808,550.7273,, 
329,TRUE,23,8.053328,463.7906,, 
330,TRUE,24,8.056928,551.0565,, 
331,TRUE,23,8.05516,569.4921,, 
332,TRUE,25,8.057048,615.7532,, 
333,TRUE,23,8.061464,645.767,, 
334,TRUE,45,8.060224,493.7304,, 
335,TRUE,47,8.060376,672.2185,, 
336,TRUE,45,8.06132,465.2335,, 
337,TRUE,47,8.057576,609.8432,, 
338,TRUE,22,8.05876,616.636,, 
339,TRUE,48,8.059344,568.7527,, 
340,TRUE,46,8.059048,397.1434,, 
341,TRUE,24,8.062648,500.5348,, 
342,TRUE,23,8.061176,439.9916,, 
343,TRUE,60,8.060288,500.4642,, 
344,TRUE,37,8.059704,403.7034,, 
345,TRUE,48,8.06176,520.9227,, 
346,TRUE,46,8.060232,482.0388,, 
347,TRUE,49,8.063624,743.2796,, 
348,TRUE,24,8.064552,521.8732,, 
349,TRUE,45,8.06196,390.9687,, 
350,TRUE,20,8.063896,470.3232,, 
351,TRUE,48,8.065696,533.6882,, 
352,TRUE,23,8.063392,534.4309,, 
353,TRUE,22,8.063888,521.5709,, 
354,TRUE,49,8.07032,532.4988,, 
355,TRUE,24,8.063832,599.8425,, 
356,TRUE,60,7.018448,453.9693,, 
357,TRUE,22,7.018192,423.8961,, 
358,TRUE,48,7.017488,560.8953,, 
359,TRUE,49,7.355376,578.9685,, 
360,TRUE,50,7.021344,438.9917,, 
361,TRUE,50,7.364448,626.1851,, 
362,TRUE,24,7.373904,585.7109,, 
363,TRUE,61,7.373616,650.6893,, 
364,TRUE,45,7.358616,627.2761,, 
365,TRUE,46,7.351536,502.7165,, 
366,TRUE,24,7.02296,492.9247,, 
367,TRUE,48,7.022984,559.2902,, 
368,TRUE,48,7.371512,438.4676,, 
369,TRUE,46,7.027136,366.8945,, 
370,TRUE,60,7.33744,539.862,, 
371,TRUE,60,7.381312,692.5359,, 
372,TRUE,38,7.400904,707.2248,, 
373,TRUE,62,7.024696,387.046,, 
374,TRUE,37,7.389336,670.8851,, 
375,TRUE,48,7.378776,594.7641,, 
376,TRUE,46,7.377744,532.2835,, 
377,TRUE,23,7.02632,503.6209,, 
378,TRUE,60,7.020312,449.7673,, 
379,TRUE,25,7.298008,500.6032,, 
380,TRUE,61,7.374104,605.7204,, 
381,TRUE,61,7.029592,533.3095,, 
382,TRUE,50,7.398384,578.1136,, 
383,TRUE,20,7.02908,474.1687,, 
384,TRUE,36,7.344688,469.627,, 
385,TRUE,23,7.170992,524.6963,, 
386,TRUE,48,7.382448,655.5589,, 
387,TRUE,47,7.030064,454.2813,, 
388,TRUE,37,7.032608,495.1276,, 
389,TRUE,20,7.235888,472.3964,, 
390,TRUE,37,7.36588,627.607,, 
391,TRUE,37,7.427976,694.1329,, 
