Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,59,2.685088,0.2289,88, ,
true,48,0.0,0.0747,88, ,
true,51,0.0,0.0719,88, ,
true,49,0.0,0.1056,88, ,
true,59,0.0,0.1262,89, ,
true,47,0.0,0.1095,89, ,
true,48,0.0,0.0524,89, ,
true,62,0.0,0.0779,89, ,
true,36,0.0,0.1114,90, ,
true,47,0.0,0.0988,90, ,
true,60,0.0,0.0819,90, ,
true,47,0.0,0.0762,90, ,
true,45,0.0,0.0605,91, ,
true,54,0.0,0.1329,91, ,
true,51,0.0,0.0991,91, ,
true,53,0.0,0.1513,91, ,
true,52,0.0,0.1317,92, ,
true,51,0.0,0.1041,92, ,
true,61,0.0,0.0908,92, ,
true,47,0.0,0.1486,92, ,
true,43,0.0,0.0618,93, ,
true,47,0.0,0.1587,93, ,
true,52,0.0,0.0566,93, ,
true,43,0.0,0.1281,93, ,
true,56,0.0,0.1456,94, ,
true,54,0.0,0.1243,94, ,
true,51,0.0,0.0909,94, ,
true,44,0.0,0.1911,94, ,
true,58,2.686824,0.204,95, ,
true,58,0.0,0.1478,95, ,
false,-1,0.0,0.0949,95, ,
true,50,2.619992,0.1895,95, ,
true,65,2.687032,0.2745,96, ,
true,48,0.0,0.0724,96, ,
true,51,0.0,0.0746,96, ,
true,54,0.0,0.0856,96, ,
true,43,0.0,0.0916,97, ,
false,-1,2.624368,0.1769,97, ,
true,46,0.0,0.1205,97, ,
true,55,2.750648,0.2672,97, ,
true,48,0.0,0.0781,98, ,
true,42,0.0,0.0799,98, ,
true,63,0.0,0.1111,98, ,
false,-1,2.625384,0.214,98, ,
false,-1,0.0,0.1152,99, ,
true,61,0.0,0.0722,99, ,
true,50,0.0,0.3495,99, ,
true,47,0.0,0.0926,99, ,
true,57,0.0,0.1433,100, ,
true,53,2.687984,0.3602,100, ,
true,50,0.0,0.0856,100, ,
true,59,0.0,0.1454,100, ,
true,61,0.0,0.1207,101, ,
true,55,0.0,0.1233,101, ,
true,55,0.0,0.0835,101, ,
true,53,2.688592,0.2175,101, ,
true,59,2.687856,0.2134,102, ,
true,51,0.0,0.0982,102, ,
true,39,0.0,0.1261,102, ,
true,57,2.688888,0.1905,102, ,
true,50,0.0,0.1851,103, ,
true,40,2.6884,0.219,103, ,
false,-1,0.0,0.0861,103, ,
true,47,0.0,0.1025,103, ,
true,53,0.0,0.1326,104, ,
true,49,0.0,0.1145,104, ,
true,54,0.0,0.1138,104, ,
true,51,2.688888,0.1731,104, ,
true,53,0.0,0.1412,105, ,
true,58,0.0,0.1129,105, ,
true,64,2.688632,0.1638,105, ,
true,55,0.0,0.1008,105, ,
true,42,0.0,0.1512,106, ,
true,53,0.0,0.1121,106, ,
true,41,0.0,0.0992,106, ,
true,57,0.0,0.1369,106, ,
true,56,0.0,0.1121,107, ,
true,45,0.0,0.1095,107, ,
true,46,0.0,0.175,107, ,
true,52,2.689896,0.1842,107, ,
true,55,0.0,0.1392,108, ,
false,-1,0.0,0.145,108, ,
true,42,0.0,0.1065,108, ,
false,-1,2.625824,0.3445,108, ,
true,37,2.62196,0.1975,109, ,
true,57,0.0,0.272,109, ,
true,50,2.689704,0.2839,109, ,
true,59,0.0,0.1024,109, ,
true,44,0.0,0.1164,110, ,
true,46,0.0,0.0474,110, ,
true,57,2.689688,0.1607,110, ,
true,43,0.0,0.0622,110, ,
true,52,0.0,0.1383,111, ,
true,45,2.690336,0.2082,111, ,
true,40,0.0,0.075,111, ,
true,46,0.0,0.0772,111, ,
true,49,0.0,0.1187,112, ,
true,61,0.0,0.126,112, ,
true,48,0.0,0.078,112, ,
true,54,0.0,0.1456,112, ,
true,41,0.0,0.1014,113, ,
true,55,0.0,0.1967,113, ,
true,56,0.0,0.105,113, ,
false,-1,0.0,0.1263,113, ,
true,47,0.0,0.0952,114, ,
true,50,0.0,0.1271,114, ,
true,47,0.0,0.1069,114, ,
false,-1,0.0,0.1395,114, ,
true,56,0.0,0.2344,115, ,
true,47,0.0,0.1318,115, ,
true,52,0.0,0.1335,115, ,
true,50,2.6916,0.1441,115, ,
false,-1,2.627464,0.3947,116, ,
true,47,0.0,0.0804,116, ,
true,61,0.0,0.1277,116, ,
true,47,0.0,0.1242,116, ,
true,53,0.0,0.1015,117, ,
true,49,0.0,0.1348,117, ,
true,57,2.690736,0.2669,117, ,
true,52,0.0,0.09,117, ,
true,44,2.691544,0.1234,118, ,
true,53,2.691312,0.1387,118, ,
true,51,2.691408,0.1897,118, ,
true,43,0.0,0.0865,118, ,
true,51,2.691432,0.1572,119, ,
true,59,0.0,0.1246,119, ,
true,45,2.692008,0.1577,119, ,
true,52,0.0,0.1666,119, ,
true,61,0.0,0.152,120, ,
true,47,2.692168,0.1518,120, ,
true,49,0.0,0.0993,120, ,
true,51,0.0,0.1287,120, ,
false,-1,0.0,0.1111,121, ,
true,53,0.0,0.0696,121, ,
true,56,0.0,0.1161,121, ,
true,56,0.0,0.126,121, ,
true,53,0.0,0.1179,122, ,
true,55,0.0,0.1547,122, ,
true,64,2.691912,0.2092,122, ,
true,49,2.691584,0.2024,122, ,
true,51,0.0,0.1784,123, ,
false,-1,0.0,0.1696,123, ,
true,55,0.0,0.1325,123, ,
true,47,0.0,0.1331,123, ,
true,53,2.693032,0.2549,124, ,
true,42,0.0,0.1148,124, ,
true,55,0.0,0.1753,124, ,
true,58,2.692736,0.1885,124, ,
true,39,2.69216,0.2278,125, ,
false,-1,0.0,0.0837,125, ,
true,53,2.6256,0.1308,125, ,
true,43,2.691904,0.1257,125, ,
true,44,0.0,0.0796,126, ,
true,45,0.0,0.131,126, ,
true,45,0.0,0.147,126, ,
true,43,2.692576,0.2143,126, ,
true,43,0.0,0.0989,127, ,
true,58,0.0,0.1183,127, ,
true,60,0.0,0.1436,127, ,
true,47,0.0,0.1312,127, ,
true,54,0.0,0.1235,128, ,
true,48,0.0,0.1411,128, ,
true,49,0.0,0.125,128, ,
true,59,2.693208,0.1695,128, ,
true,46,2.6936,0.4075,129, ,
true,37,2.693016,0.6904,129, ,
true,46,2.691992,1.0635,129, ,
true,53,2.692384,0.4187,129, ,
true,55,2.692552,0.8975,130, ,
true,49,2.693056,1.3597,130, ,
true,40,2.6926,0.9205,130, ,
true,48,2.69336,0.4371,130, ,
true,45,2.69288,0.185,131, ,
true,53,2.69352,0.1607,131, ,
true,43,2.693152,0.1865,131, ,
true,49,2.692416,0.2137,131, ,
true,51,0.0,0.1328,132, ,
true,52,2.69344,0.2284,132, ,
true,48,0.0,0.1531,132, ,
true,42,2.693744,0.2306,132, ,
true,51,2.693568,0.1776,133, ,
false,-1,2.693112,0.2218,133, ,
true,52,2.625512,0.4191,133, ,
true,55,2.692592,0.256,133, ,
false,-1,0.0,0.1791,134, ,
true,44,2.627008,0.2289,134, ,
true,57,2.693672,0.2313,134, ,
true,51,2.693336,0.2924,134, ,
true,39,2.692904,0.3687,135, ,
true,52,2.693568,0.3574,135, ,
true,47,2.693016,0.1955,135, ,
true,56,2.693176,0.3739,135, ,
true,35,2.693384,0.223,136, ,
true,56,2.694056,0.3776,136, ,
true,58,2.69352,0.2049,136, ,
true,55,2.69304,0.3693,136, ,
true,50,2.693656,0.4281,137, ,
true,54,2.69404,0.2866,137, ,
true,45,2.693536,0.4572,137, ,
true,59,2.693848,0.2897,137, ,
true,53,2.693344,0.5277,138, ,
true,41,2.693904,0.3489,138, ,
true,58,2.694816,0.3716,138, ,
true,58,2.694592,0.402,138, ,
true,47,2.693648,0.4337,139, ,
true,54,2.694816,0.4698,139, ,
true,51,2.693384,0.301,139, ,
true,56,2.693984,0.3898,139, ,
true,63,2.694312,0.4244,140, ,
true,49,2.694776,0.3744,140, ,
true,54,2.694192,0.6521,140, ,
true,50,2.69376,0.3999,140, ,
true,57,0.0,0.1978,141, ,
true,49,2.694488,0.4494,141, ,
true,44,2.69436,0.2155,141, ,
true,57,2.694304,0.2062,141, ,
true,49,0.0,0.124,142, ,
true,54,2.69468,0.2709,142, ,
true,46,0.0,0.1389,142, ,
true,45,0.0,0.2568,142, ,
true,53,2.69444,0.192,143, ,
true,40,2.695384,0.1967,143, ,
true,43,0.0,0.2476,143, ,
true,44,0.0,0.1252,143, ,
false,-1,2.695104,0.2681,144, ,
true,56,2.691352,0.2196,144, ,
true,56,2.694712,0.1851,144, ,
true,51,0.0,0.1453,144, ,
true,48,0.0,0.1099,145, ,
true,45,0.0,0.2689,145, ,
