,Greedy Brute Force,,,,,
 #Sessions,Valid?, Score, RAM (MB), Time (ms),, 
392,TRUE,45,3.793712,122.1989,, 
393,TRUE,29,3.793376,102.485,, 
394,TRUE,47,3.794032,95.416,, 
395,TRUE,25,3.793808,105.9651,, 
396,TRUE,44,3.79372,124.8584,, 
397,TRUE,25,3.79436,121.4367,, 
398,TRUE,37,3.793608,118.7544,, 
399,TRUE,24,3.794552,141.7644,, 
400,TRUE,26,3.794408,133.7824,, 
401,TRUE,40,3.73124,159.6222,, 
402,TRUE,49,3.794648,147.3391,, 
403,TRUE,47,3.731648,133.7895,, 
404,TRUE,26,3.79528,180.7491,, 
405,TRUE,24,3.794448,130.7409,, 
406,TRUE,26,3.795416,118.9738,, 
407,TRUE,47,3.795448,116.6285,, 
408,TRUE,25,3.7958,125.0019,, 
409,TRUE,26,3.79544,187.422,, 
410,TRUE,38,3.796576,150.9675,, 
411,TRUE,25,3.796488,173.8904,, 
412,TRUE,44,3.796368,175.6308,, 
413,TRUE,24,3.796992,169.3404,, 
414,TRUE,25,3.796976,156.2573,, 
415,TRUE,43,3.796464,220.3246,, 
416,TRUE,24,3.796944,115.3031,, 
417,TRUE,45,3.79728,121.1422,, 
418,TRUE,45,3.79772,141.2468,, 
419,TRUE,48,3.798232,178.0087,, 
420,TRUE,25,3.797744,132.078,, 
421,TRUE,23,3.797184,154.4691,, 
422,TRUE,49,3.797848,179.8725,, 
423,TRUE,24,3.79788,153.326,, 
424,TRUE,46,3.798096,182.7763,, 
425,TRUE,40,3.798744,157.4166,, 
426,TRUE,39,3.799368,179.7639,, 
427,TRUE,40,3.798488,148.0678,, 
428,TRUE,21,3.799056,150.7292,, 
429,TRUE,25,3.7994,135.1061,, 
430,TRUE,40,3.799344,165.5975,, 
431,TRUE,40,3.801136,129.1078,, 
432,TRUE,46,3.799424,124.4292,, 
433,TRUE,24,3.800056,162.0536,, 
434,TRUE,24,3.79964,143.3824,, 
435,TRUE,48,3.799432,164.1674,, 
436,TRUE,46,3.800168,134.5481,, 
437,TRUE,50,3.800896,131.5189,, 
438,TRUE,26,3.800232,154.459,, 
439,TRUE,28,3.80064,158.8624,, 
440,TRUE,25,3.8006,145.4237,, 
441,TRUE,23,3.80176,181.309,, 
442,TRUE,22,3.801928,98.3821,, 
443,TRUE,27,3.802608,135.1961,, 
444,TRUE,22,3.802296,138.1954,, 
445,TRUE,64,3.801272,138.7255,, 
446,TRUE,43,3.802664,181.2258,, 
447,TRUE,46,3.803056,150.2181,, 
448,TRUE,46,3.80692,154.7304,, 
449,TRUE,26,3.802496,132.0779,, 
450,TRUE,27,3.802184,170.5379,, 
451,TRUE,49,3.80216,156.087,, 
452,TRUE,42,3.807232,119.7633,, 
453,TRUE,23,3.805152,168.7317,, 
454,TRUE,25,3.84324,189.5252,, 
455,TRUE,59,3.80312,153.6495,, 
